0x210D76F8,Главное меню,Главное меню=0x210D76F8
0x20C831B4,Журнал звонков (Меню),Журнал звонков (Меню)=0x20C831B4
0x2071751C,Журнал звонков - последние,Журнал звонков - последние=0x2071751C
0x2197EF94,Журнал звонков - пропущенные,Журнал звонков - пропущенные=0x2197EF94
0x2197F0C4,Журнал звонков - исходящие,Журнал звонков - исходящие=0x2197F0C4
0x2197F1E4,Журнал звонков - входящие,Журнал звонков - входящие=0x2197F1E4
0x20BBE564,Журнал звонков - Чёрный список,Журнал звонков - Чёрный список=0x20BBE564
0x202FAB5C,Диспетчер вызовов,Диспетчер вызовов=0x202FAB5C
0x21054280,Контакты,Контакты=0x21054280
0x20BD109C,MP3 Плеер,MP3 Плеер=0x20BD109C
0x203278F8,Интернет,Интернет=0x203278F8
0x20331928,Сообщения,Сообщения=0x20331928
0x21A5ED2C,Сообщения - Настройки,Сообщения - Настройки=0x21A5ED2C
0x2165A1D8,Сообщения - Очистить папки,Сообщения - Очистить папки=0x2165A1D8
0x20331CD8,Сообщения - Мои сообщения,Сообщения - Мои сообщения=0x20331CD8
0x21657868,Сообщения - Входящие,Сообщения - Входящие=0x21657868
0x216578D8,Сообщения - Исходящие,Сообщения - Исходящие=0x216578D8
0x216579D8,Сообщения - Отправленные,Сообщения - Отправленные=0x216579D8
0x21657958,Сообщения - Черновики,Сообщения - Черновики=0x21657958
0x20331F58,Сообщения - Шаблоны,Сообщения - Шаблоны=0x20331F58
0x21657A58,Сообщения - Моя папка,Сообщения - Моя папка=0x21657A58
0x20D3E64C,Сообщения - Создать,Сообщения - Создать=0x20D3E64C
0x21A408CC,Сообщения - Состояние памяти,Сообщения - Состояние памяти=0x21A408CC
0x20D3F37C,Сообщения - Экстренные,Сообщения - Экстренные=0x20D3F37C
0x215554F4,Сообщения сети,Сообщения сети=0x215554F4
0x20C87608,Сообщения сети - Чтение,Сообщения сети - Чтение=0x20C87608
0x20337E10,Мои файлы,Мои файлы=0x20337E10
0x20BB2D04,Органайзер (Меню),Органайзер (Меню)=0x20BB2D04
0x20282D1C,Календарь,Календарь=0x20282D1C
0x20D69864,Заметки,Заметки=0x20D69864
0x20BB49F4,Задача,Задача=0x20BB49F4
0x20D3CA8C,Мировое время,Мировое время=0x20D3CA8C
0x21A5BB84,Калькулятор,Калькулятор=0x21A5BB84
0x207EA17C,Конвертер,Конвертер=0x207EA17C
0x20299AB8,Камера,Камера=0x20299AB8
0x20C343C4,FM-радио,FM-радио=0x20C343C4
0x211D9E2C,Приложения (Меню),Приложения (Меню)=0x211D9E2C
0x21073FE0,Фоторедактор,Фоторедактор=0x21073FE0
0x216AB120,Словарь с заставкой,Словарь с заставкой=0x216AB120
0x216AB180,Словарь без заставки,Словарь без заставки=0x216AB180
0x211F0D28,Игры и приложения,Игры и приложения=0x211F0D28
0x207E7F6C,Диктофон,Диктофон=0x207E7F6C
0x219BA108,BlueTooth Активировать,BlueTooth Активировать=0x219BA108
0x207FA95C,BlueTooth Активировать/Деактивировать,BlueTooth Активировать/Деактивировать=0x207FA95C
0x20742E5C,BlueTooth Мои устройства,BlueTooth Мои устройства=0x20742E5C
0x20BFD680,Bluetooth Настройки,Bluetooth Настройки=0x20BFD680
0x2109559C,BlueTooth Список услуг,BlueTooth Список услуг=0x2109559C
0x20D3CD8C,Таймер,Таймер=0x20D3CD8C
0x207ED0D0,Секундомер,Секундомер=0x207ED0D0
0x20D3BD1C,Будильник,Будильник=0x20D3BD1C
0x2163CC84,Настройки (Меню),Настройки (Меню)=0x2163CC84
0x211B4660,Настр. Диспетчер сим-карт,Настр. Диспетчер сим-карт=0x211B4660
0x203103CC,Настр. Профили,Настр. Профили=0x203103CC
0x20D24FB0,Настр. Дисплей и подсветка,Настр. Дисплей и подсветка=0x20D24FB0
0x21639194,Настр. Яркость дисплея,Настр. Яркость дисплея=0x21639194
0x211DBCFC,Настр. Время и дата,Настр. Время и дата=0x211DBCFC
0x21A425A0,Настр. Телефон,Настр. Телефон=0x21A425A0
0x211B6DA8,Настр. Приложения,Настр. Приложения=0x211B6DA8
0x2030E3FC,Настр. Безопасность,Настр. Безопасность=0x2030E3FC
0x207CBB28,Настр. Сеть,Настр. Сеть=0x207CBB28
0x211B6B00,Настр. Подключение к ПК,Настр. Подключение к ПК=0x211B6B00
0x21639418,Настр. Память,Настр. Память=0x21639418
0x20295034,Голосовая почта,Голосовая почта=0x20295034
0x2079A3F0,Блок.клавиатуры,Блок.клавиатуры=0x2079A3F0
0x211B647C,Бесшумный режим вкл/выкл,Бесшумный режим вкл/выкл=0x211B647C
0x2031225C,Сведения о телефоне,Сведения о телефоне=0x2031225C
0x20D22524,Перезагрузка,Перезагрузка=0x20D22524
0xFFFFFFFF,2:9-(оставить быстрый набор),2:9-(оставить быстрый набор)=0xFFFFFFFF
0x00000000,Нет действия,Нет действия=0x00000000
0x207F8B48,Фонарь(нужен патч),Фонарь(нужен патч)=0x207F8B48
0x207F6B70,Talker (нужен патч),Talker (нужен патч)=0x207F6B70
0x207FAABC,Экстра-инфо (нужен патч),Экстра-инфо (нужен патч)=0x207FAABC
